date_of_conception_y,sex,x,f,i,d,c,fi,fd,fc,id,ic,fi_lx,fi_lx_se,fi_lx_lower,fi_lx_upper,fi_hx,fi_hx_se,fi_hx_lower,fi_hx_upper,fd_lx,fd_lx_se,fd_lx_lower,fd_lx_upper,fd_hx,fd_hx_se,fd_hx_lower,fd_hx_upper,id_lx,id_lx_se,id_lx_lower,id_lx_upper,id_hx,id_hx_se,id_hx_lower,id_hx_upper,fdid_lx,fdid_lx_se,fdid_lx_lower,fdid_lx_upper,fdid_hx,fdid_hx_se,fdid_hx_lower,fdid_hx_upper,as.integer(date_of_conception_y)
1989.0,Male,27,2093083,5467,6104,0,3050,478,0,592,0,0.9958449773411258,4.435459518160021e-5,0.9959306557126222,0.9957574988917712,0.001458243089601149,2.6404618187086492e-5,0.0014064909889289282,0.0015099951902733696,0.9986529456165251,2.5295669836257137e-5,0.9987015591455765,0.9986025132743049,2.283973387409668e-4,1.0446651048292515e-5,2.079222789272559e-4,2.4887239855467773e-4,NaN,NaN,NaN,NaN,0.11448462579771804,0.004697573941532241,0.10527755005760098,0.1236917015378351,0.9970997608157922,3.7067718772317255e-5,0.9971713055687674,0.9970264092166355,5.100058865165406e-4,1.5591334382288033e-5,4.7944743265633505e-4,5.405643403767462e-4,1989
1989.0,Male,28,2089555,7925,7174,0,4231,504,0,479,0,0.9943938513318417,5.148796005287341e-5,0.9944933098357047,0.9942926016284398,0.002026885090561906,3.116071343311158e-5,0.001965811214500434,0.002087958966623378,0.9984248819859836,2.7356309840946652e-5,0.998477516117725,0.9983704297131645,2.4122877342348142e-4,1.074518351686886e-5,2.2016860072314503e-4,2.622889461238178e-4,NaN,NaN,NaN,NaN,0.06232515776462169,0.002846326094232612,0.056746461131669215,0.06790385439757417,0.9965913637110899,4.0175245264399286e-5,0.9966689424231386,0.9965119813920205,4.6876747297374305e-4,1.4951359986946202e-5,4.3946334587943524e-4,4.980716000680508e-4,1989
1989.0,Male,29,2084820,11677,8157,0,5123,457,0,405,0,0.9923803698082708,5.9971129921407073e-5,0.9924961305046132,0.9922628302648809,0.002460309322785812,3.4373773088577195e-5,0.0023929379655194486,0.002527680680052175,0.9981840622226746,2.93776571538492e-5,0.9982406375882007,0.9981256692861767,2.1922760406535284e-4,1.0255034714477287e-5,1.9912810536476937e-4,2.393271027659363e-4,NaN,NaN,NaN,NaN,0.035295655584121316,0.0017535820898760804,0.03185869784402972,0.03873261332421291,0.9961243035672374,4.282933094674986e-5,0.996207028290066,0.9960397782066309,4.112465924260018e-4,1.4007114227856205e-5,3.8379315301206504e-4,4.3870003183993855e-4,1989
1989.0,Male,30,2079240,16395,9019,0,7508,532,0,415,0,0.9899418069421588,6.882436613258874e-5,0.9900744653387263,0.9898073846601327,0.0036174659814616913,4.1748570866454105e-5,0.003535640286157423,0.0036992916767659596,0.9979652567064018,3.110316092965253e-5,0.9980251941427613,0.9979035020171784,2.5589545612403043e-4,1.1094474967241718e-5,2.3415068476085547e-4,2.776402274872054e-4,NaN,NaN,NaN,NaN,0.025637065637065633,0.0012583706591746647,0.023170704465881365,0.028103426808249902,0.9957147350585893,4.502626794170039e-5,0.9958017138339746,0.9956259582448604,4.519937961822991e-4,1.4687824456964106e-5,4.232061892354029e-4,4.8078140312919534e-4,1989
1989.0,Male,31,2071200,23488,9966,0,9049,486,0,363,0,0.9863671916565152,7.999001443039207e-5,0.9865209641155097,0.9862116772085623,0.004378529672413497,4.602851485832514e-5,0.004288315441029313,0.0044687439037976815,0.9977099146022831,3.30066038803315e-5,0.9977735581520467,0.9976444539297266,2.346741144311543e-4,1.0645033930346299e-5,2.138102313134687e-4,2.555379975488399e-4,NaN,NaN,NaN,NaN,0.01557505416943771,8.174535493435054e-4,0.013972874653690005,0.017177233685185415,0.9952647798640538,4.732047007110075e-5,0.9953561953037192,0.9951715692376862,4.0539311313977444e-4,1.3913055339070112e-5,3.7812402576028434e-4,4.3266220051926455e-4,1989
1989.0,Male,32,2061665,32174,10815,0,12525,517,0,332,0,0.9820577880656984,9.157464683078953e-5,0.9822331956165647,0.981880664779219,0.006093696976626233,5.444900789828345e-5,0.00598697888215166,0.006200415071100806,0.99747580538130165,3.4665113591561824e-5,0.9975426756808534,0.9974071177299303,2.507996360737196e-4,1.1030155295924506e-5,2.291809289498238e-4,2.7241834319761537e-4,NaN,NaN,NaN,NaN,0.010372406898275432,5.692521280925208e-4,0.00925669322909131,0.011488120567459554,0.9948613881426593,4.9284895566914245e-5,0.9949565976176501,0.9947643860341413,4.055575233667293e-4,1.3918697883103918e-5,3.7827737680415173e-4,4.328376699293069e-4,1989
1989.0,Male,33,2048623,44367,11664,0,18118,597,0,317,0,0.9760916035519569,1.0539930177474239e-4,0.9762924058424034,0.975889121563348,0.008883271130496518,6.599537576668527e-5,0.008753922570847627,0.009012619690145409,0.9972256701792286,3.6360111204073006e-5,0.9972958357051384,0.997153686652819,2.9145772557033814e-4,1.1928570490805746e-5,2.6807815702131163e-4,3.1483729411936465e-4,NaN,NaN,NaN,NaN,0.007170566746213964,4.0273656384244414e-4,0.006381217585825357,0.00795991590660257,0.9944579964212648,5.1172456858678686e-5,0.9945568470345719,0.9943573557246214,4.367911999476233e-4,1.4447768419742598e-5,4.0847409418795266e-4,4.6510830570729394e-4,1989
1989.0,Male,34,2029908,62168,12578,0,31009,581,0,361,0,0.9674590598027388,1.2243402811510566e-4,0.9676904050538024,0.967226086267679,0.015393638861330414,8.741471556237105e-5,0.015222309167109354,0.015564968555551475,0.9969350634033127,3.8245354954235794e-5,0.9970088908546008,0.9968594165923671,2.862608348617412e-4,1.1876100466953705e-5,2.6298410566973264e-4,3.0953756405374975e-4,NaN,NaN,NaN,NaN,0.00582375478927203,3.065121104907379e-4,0.005223002091884822,0.006424507486659238,0.9940237207636031,5.312799914485683e-5,0.9941263388667372,0.9939193153193894,4.503718436320434e-4,1.4673907228310048e-5,4.2161151395207373e-4,4.79132173312013e-4,1989
1989.0,Male,35,1998318,92816,13520,0,48913,655,0,354,0,0.9526800954430618,1.4653225062672329e-4,0.9529529333598721,0.9524057151067131,0.024780360729463543,1.1203717140547868e-4,0.024560771908579065,0.02499994955034802,0.9966497207809687,4.0024595891393116e-5,0.9967270009995658,0.9965706190060923,3.278293865761624e-4,1.2809353918511214e-5,3.027235142306534e-4,3.5293525892167134e-4,NaN,NaN,NaN,NaN,0.0038212847720722376,2.0309862347186975e-4,0.0034232187847577115,0.004219350759386764,0.9935761412564728,5.5069129801157355e-5,0.9936824940755589,0.9934680039192525,4.826297533828926e-4,1.5193873148571086e-5,4.5285030922602307e-4,5.124091975397621e-4,1989
1989.0,Male,36,1948750,141375,14529,0,78646,652,0,369,0,0.9293612635512375,1.768569071347655e-4,0.9296827056162793,0.9290384088488244,0.041188272712180146,1.468395836495851e-4,0.0409004724167221,0.04147607300763819,0.9963230432616191,4.1997540690916144e-5,0.9964041480776763,0.9962401125716606,3.3462942357515615e-4,1.3105099461000905e-5,3.089439006177791e-4,3.603149465325332e-4,NaN,NaN,NaN,NaN,0.0026134902844029877,1.3605275363068821e-4,0.0023468317872893376,0.0028801487815166378,0.9930967275381134,5.707329262141112e-5,0.9932069309039753,0.9929847426742245,4.886068698317322e-4,1.529138013915681e-5,4.586363154850738e-4,5.185774241783906e-4,1989
1989.0,Male,37,1869452,219652,15550,0,141731,738,0,388,0,0.8918548897561122,2.144053894950078e-4,0.8922290623972844,0.8914794985425414,0.07880132537412017,2.0915282378498458e-4,0.07839139337223675,0.0792112573760036,0.9959897000291846,4.3965694594376885e-5,0.9960746155601925,0.9959029513509907,3.948460287745381e-4,1.4534482890808107e-5,3.663589657746406e-4,4.233330917744356e-4,NaN,NaN,NaN,NaN,0.001767992053149122,8.975616248763259e-5,0.001592073207282837,0.001943910899015407,0.9926116121699816,5.9030187591445974e-5,0.9927255697296767,0.9924958761645678,5.391323416681789e-4,1.6066681119469994e-5,5.076422253229281e-4,5.706224580134297e-4,1989
1989.0,Male,38,1726983,360995,16676,0,281075,777,0,512,0,0.8242396285030693,2.6282140889245337e-4,0.8246637550670102,0.8238145891550059,0.17717280549505168,3.328703839406339e-4,0.17652039153100801,0.17782521945909535,0.99559651507518665,4.6269333965137134e-5,0.9956858846557868,0.9955052983300952,4.500188087011745e-4,1.6144334424727328e-5,4.1837649467433874e-4,4.8166112272801024e-4,NaN,NaN,NaN,NaN,0.0014193086968694818,6.272515946509818e-5,0.0012963696433933576,0.001542247750345606,0.9920766073663417,6.111359598687164e-5,0.9921945555875357,0.9919568840613916,6.175342847704979e-4,1.7200243483182968e-5,5.838224270181395e-4,6.512461425228562e-4,1989
1989.0,Male,39,1445131,641558,17965,0,455473,737,0,582,0,0.6900905641628295,3.19413927109371e-4,0.6905223589807339,0.689658310662277,0.3741375536032075,5.445839361071953e-4,0.37307018870187836,0.37520491850453663,0.9951485787074208,4.895959595422495e-5,0.9952431407552698,0.9950521415285675,5.101184450731521e-4,1.8790453820572855e-5,4.7328983233166626e-4,5.469470578146379e-4,NaN,NaN,NaN,NaN,9.075782786265315e-4,3.762032613513181e-5,8.338437943150222e-4,9.813127629380407e-4,0.9914641551532939,6.341199409046337e-5,0.9915864980844882,0.9913400409816121,6.323017004313697e-4,1.7410126644733923e-5,5.981784792414101e-4,6.664249216213294e-4,1989
1989.0,Male,40,988921,1096449,19284,0,465200,664,0,669,0,0.47258943829193173,3.449283940538446e-4,0.47290889495335486,0.4722699094518762,0.6150827492559376,8.581008428965127e-4,0.613400902508757,0.6167645960031183,0.9946410645080109,5.2382294662903785e-5,0.994742217491557,0.9945379708188096,6.716643620351835e-4,2.6065630914707358e-5,6.205766642080432e-4,7.227520598623238e-4,NaN,NaN,NaN,NaN,6.103376973847166e-4,2.3597017563744754e-5,5.640883928172178e-4,6.565870019522153e-4,0.9908374488158151,6.567786982014812e-5,0.9909641160005084,0.9907090143175011,6.394194666052032e-4,1.7513411696733423e-5,6.050938104331831e-4,6.737451227772232e-4,1989
1989.0,Male,41,523057,1560980,20617,0,288715,441,0,599,0,0.2502778414167449,2.993849523835518e-4,0.2504247123566189,0.25013099443974873,0.7623854797801422,0.0013117310108062754,0.7598145342415575,0.7649564253187268,0.9939732238343542,5.840782359379422e-5,0.9940859468747341,0.9938583589142327,8.434759241177691e-4,4.0165516624105955e-5,7.647529581140766e-4,9.221988901214615e-4,NaN,NaN,NaN,NaN,3.838069355002513e-4,1.5681925961387215e-5,3.530709254077087e-4,4.145429455927939e-4,0.9902040905536019,6.788821415539764e-5,0.9903349677979851,0.9900714499582055,4.99155994407533e-4,1.5478169839176444e-5,4.6881933897615307e-4,5.294926498389129e-4,1989
1989.0,Male,42,233901,1849096,21657,0,122135,217,0,502,0,0.11213043686115058,2.1818950124494844e-4,0.11217839428785911,0.11208249056897394,0.7066627708170001,0.0018916252921287128,0.7029552533721828,0.7103702882618175,0.9931351847837135,7.068889198934305e-5,0.9932714161996659,0.9929962048715508,9.28173487173455e-4,6.300851514188491e-5,8.04679066776014e-4,0.001051667907570896,NaN,NaN,NaN,NaN,2.715208684340764e-4,1.211856932080985e-5,2.477689090211371e-4,2.952728278470157e-4,0.9897099475733306,6.956205555095515e-5,0.9898440074150742,0.9895741274680713,3.452353085930701e-4,1.2875104263749598e-5,3.200005679389228e-4,3.704700492472174e-4,1989
1989.0,Male,43,111549,1970729,22376,0,52332,140,0,441,0,0.05357980686796275,1.5582700091328178e-4,0.05359617260634144,0.05356344441968807,0.6129088928709462,0.002550332984648174,0.6079103320724513,0.6179074536694411,0.9922138106335471,9.431937185294185e-5,0.992395098425462,0.9920282186336353,0.0012558419074444513,1.0613799221000471e-4,0.0010478152653214494,0.0014638685495674533,NaN,NaN,NaN,NaN,2.2380010032943274e-4,1.0657147568012509e-5,2.029124749181996e-4,2.4468772574066586e-4,0.9893683237244699,7.069513341206804e-5,0.9895045351670149,0.9892303541508456,2.790602729363169e-4,1.157737083039749e-5,2.5636904307307326e-4,3.0175150279956056e-4,1989
